@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
189,'2016/10/31 19:17:07:056',2,0.036719,0.977778,1,0,1
190,'2016/10/31 19:17:07:076',2,0.04375,1,1,0,1
191,'2016/10/31 19:17:07:096',2,0.053125,1,1,0,1
192,'2016/10/31 19:17:07:116',2,0.067188,1,1,0,1
193,'2016/10/31 19:17:07:136',2,0.105469,1,1,0,1
194,'2016/10/31 19:17:07:156',2,0.124219,0.988889,1,0,1
195,'2016/10/31 19:17:07:176',2,0.135156,0.979167,1,0,1
196,'2016/10/31 19:17:07:196',2,0.142969,0.966667,1,0,1
197,'2016/10/31 19:17:07:220',2,0.149219,0.9125,1,0,1
198,'2016/10/31 19:17:07:236',2,0.149219,0.9125,1,0,1
199,'2016/10/31 19:17:07:256',2,0.135156,0.851389,1,0,1
200,'2016/10/31 19:17:07:277',2,0.126563,0.8375,1,0,1
201,'2016/10/31 19:17:07:296',2,0.116406,0.826389,1,0,1
202,'2016/10/31 19:17:07:316',2,0.107813,0.823611,1,0,1
203,'2016/10/31 19:17:07:336',2,0.094531,0.823611,1,0,1
204,'2016/10/31 19:17:07:356',2,0.082031,0.823611,1,0,1
205,'2016/10/31 19:17:07:376',2,0.05625,0.843056,1,0,1
206,'2016/10/31 19:17:07:396',2,0.046094,0.858333,1,0,1
207,'2016/10/31 19:17:07:416',2,0.039844,0.870833,1,0,1
208,'2016/10/31 19:17:07:436',2,0.035156,0.886111,1,0,1
209,'2016/10/31 19:17:07:456',2,0.034375,0.9,1,0,1
210,'2016/10/31 19:17:07:476',2,0.0375,0.934722,1,0,1
211,'2016/10/31 19:17:07:496',2,0.046875,0.951389,1,0,1
212,'2016/10/31 19:17:07:516',2,0.058594,0.966667,1,0,1
213,'2016/10/31 19:17:07:536',2,0.070313,0.973611,1,0,1
214,'2016/10/31 19:17:07:556',2,0.089062,0.979167,1,0,1
215,'2016/10/31 19:17:07:576',2,0.099219,0.979167,1,0,1
216,'2016/10/31 19:17:07:596',2,0.117969,0.966667,1,0,1
217,'2016/10/31 19:17:07:616',2,0.124219,0.952778,1,0,1
218,'2016/10/31 19:17:07:636',2,0.127344,0.941667,1,0,1
219,'2016/10/31 19:17:07:656',2,0.129688,0.930556,1,0,1
220,'2016/10/31 19:17:07:676',2,0.130469,0.916667,1,0,1
221,'2016/10/31 19:17:07:696',2,0.13125,0.895833,1,0,1
222,'2016/10/31 19:17:07:716',2,0.13125,0.884722,1,0,1
223,'2016/10/31 19:17:07:736',2,0.125,0.872222,1,0,1
224,'2016/10/31 19:17:07:756',2,0.115625,0.859722,1,0,1
225,'2016/10/31 19:17:07:776',2,0.102344,0.848611,1,0,1
226,'2016/10/31 19:17:07:796',2,0.078906,0.836111,1,0,1
227,'2016/10/31 19:17:07:816',2,0.066406,0.834722,1,0,1
228,'2016/10/31 19:17:07:836',2,0.058594,0.834722,1,0,1
229,'2016/10/31 19:17:07:856',2,0.050781,0.834722,1,0,1
230,'2016/10/31 19:17:07:876',2,0.046094,0.840278,1,0,1
231,'2016/10/31 19:17:07:896',2,0.042188,0.847222,1,0,1
232,'2016/10/31 19:17:07:916',2,0.041406,0.880556,1,0,1
233,'2016/10/31 19:17:07:936',2,0.048437,0.902778,1,0,1
